name,description,master,kind,unit,address,readable,writable,type,rawMin,rawMax,scaleUnit,scaleFunction,scaleMin,scaleMax,noise,archive,valueMap
,Strefy,,,,,,,,,,,,,,,,
zones.1.status,Status strefy 1,-,setting,-,-,0,1,string,-,-,-,-,-,-,-,-,-
zones.1.testId,ID ostatniego testu na strefie 1,-,setting,-,-,0,1,string,-,-,-,-,-,-,-,-,-
zones.1.program,Aktualny program strefy 1,-,setting,-,-,0,1,object,-,-,-,-,-,-,-,-,-
zones.1.serialNumbers,Numery seryjne strefy 1,-,setting,-,-,0,1,object,-,-,-,-,-,-,-,-,-
zones.1.startTime,Czas rozpoczęcia strefy 1,-,setting,-,-,0,1,double,-,-,-,-,-,-,-,-,-
zones.1.finishTime,Czas zakończenia strefy 1,-,setting,-,-,0,1,double,-,-,-,-,-,-,-,-,-
zones.1.metric,Pomiar 1,-,setting,-,-,0,1,double,-,-,-,-,-,-,-,-,-
zones.1.greenLed,Sygnalizator zielony 1,moxa,register,1,1,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.1.orangeLed,Sygnalizator pomarańczowy 1,moxa,register,1,2,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.1.redLed,Sygnalizator czerwony 1,moxa,register,1,3,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.1.buzzer,Buzer 1,moxa,register,1,4,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.1.on,Stan strefy 1,moxa,register,1,16,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.2.status,Status strefy 2,-,setting,-,-,0,1,string,-,-,-,-,-,-,-,-,-
zones.2.testId,ID ostatniego testu na strefie 2,-,setting,-,-,0,1,string,-,-,-,-,-,-,-,-,-
zones.2.program,Aktualny program strefy 2,-,setting,-,-,0,1,object,-,-,-,-,-,-,-,-,-
zones.2.serialNumbers,Numery seryjne strefy 2,-,setting,-,-,0,1,object,-,-,-,-,-,-,-,-,-
zones.2.startTime,Czas rozpoczęcia strefy 2,-,setting,-,-,0,1,double,-,-,-,-,-,-,-,-,-
zones.2.finishTime,Czas zakończenia strefy 2,-,setting,-,-,0,1,double,-,-,-,-,-,-,-,-,-
zones.2.metric,Pomiar 2,-,setting,-,-,0,1,double,-,-,-,-,-,-,-,-,-
zones.2.greenLed,Sygnalizator zielony 2,moxa,register,1,5,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.2.orangeLed,Sygnalizator pomarańczowy 2,moxa,register,1,6,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.2.redLed,Sygnalizator czerwony 2,moxa,register,1,7,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.2.buzzer,Buzer 2,moxa,register,1,8,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.2.on,Stan strefy 2,moxa,register,1,12,1,1,uint16,-,-,-,"onOffWrite(256, 512)",-,-,-,-,-
zones.3.status,Status strefy 3,-,setting,-,-,0,1,string,-,-,-,-,-,-,-,-,-
zones.3.testId,ID ostatniego testu na strefie 3,-,setting,-,-,0,1,string,-,-,-,-,-,-,-,-,-
